GEOID_Data,single_family,multi_family,units_other,white_single_family,white_multi_family,white_units_other,black_single_family,black_multi_family,black_units_other,other_single_family,other_multi_family,other_units_other,nhisp_white_single_family,nhisp_white_multi_family,nhisp_white_units_other,hisp_single_family,hisp_multi_family,hisp_units_other,nhisp_single_family,nhisp_multi_family,nhisp_units_other
14000US17031831900,0.19376244193762443,0.8062375580623756,0.0,0.21300813008130082,0.7869918699186992,0.0,0.0,1.0,0.0,0.12448132780082988,0.8755186721991701,0.0,0.1891891891891892,0.8108108108108109,0.0,0.20430107526881722,0.7956989247311828,0.0,0.19227857683573052,0.8077214231642695,0.0
14000US17031832600,0.4079861111111111,0.5920138888888888,0.0,0.4078780177890724,0.5921219822109276,0.0,0.5185185185185185,0.48148148148148145,0.0,0.3858267716535433,0.6141732283464567,0.0,0.4074790457769181,0.5925209542230819,0.0,0.3611111111111111,0.6388888888888888,0.0,0.408983451536643,0.5910165484633569,0.0
14000US17031836900,0.2564102564102564,0.7264957264957265,0.017094017094017096,0.0,1.0,0.0,0.2914046121593291,0.7085953878406709,0.0,0.3235294117647059,0.38235294117647056,0.29411764705882354,0.0,1.0,0.0,0.0,1.0,0.0,0.2808988764044944,0.700374531835206,0.018726591760299626
14000US17031841200,0.12257281553398058,0.8774271844660194,0.0,0.17364532019704434,0.8263546798029556,0.0,0.0,1.0,0.0,0.08495821727019498,0.915041782729805,0.0,0.047872340425531915,0.9521276595744681,0.0,0.1641391614629795,0.8358608385370205,0.0,0.03415559772296015,0.9658444022770398,0.0
14000US17031839500,0.30080213903743314,0.6991978609625669,0.0,0.5,0.5,0.0,0.27387387387387385,0.7261261261261261,0.0,0.26262626262626265,0.7373737373737373,0.0,0.5280898876404494,0.47191011235955055,0.0,0.1956521739130435,0.8043478260869565,0.0,0.3076923076923077,0.6923076923076923,0.0
14000US17031835800,0.17598908594815826,0.8240109140518418,0.0,0.0,1.0,0.0,0.18833333333333332,0.8116666666666666,0.0,0.14953271028037382,0.8504672897196262,0.0,,,,0.1927710843373494,0.8072289156626506,0.0,0.17384615384615384,0.8261538461538461,0.0
14000US17031838800,0.46830985915492956,0.5316901408450704,0.0,0.41830065359477125,0.5816993464052288,0.0,0.5123456790123457,0.4876543209876543,0.0,0.3956043956043956,0.6043956043956044,0.0,0.0,1.0,0.0,0.4282655246252677,0.5717344753747323,0.0,0.4962630792227205,0.5037369207772795,0.0
14000US17031842300,0.20867379006913891,0.7913262099308611,0.0,0.1889763779527559,0.8110236220472441,0.0,0.47674418604651164,0.5232558139534884,0.0,0.12318840579710146,0.8768115942028986,0.0,0.1935483870967742,0.8064516129032258,0.0,0.0,1.0,0.0,0.22030524220305242,0.7796947577969475,0.0
14000US17031841900,0.1814073595868302,0.8185926404131698,0.0,0.15134099616858238,0.8486590038314177,0.0,0.0684931506849315,0.9315068493150684,0.0,0.27314814814814814,0.7268518518518519,0.0,0.149895178197065,0.850104821802935,0.0,0.3082191780821918,0.6917808219178082,0.0,0.16821097647897362,0.8317890235210263,0.0
14000US17031843200,0.18541666666666667,0.8145833333333333,0.0,0.18135593220338983,0.8186440677966101,0.0,0.08333333333333333,0.9166666666666666,0.0,0.20359281437125748,0.7964071856287425,0.0,0.14171122994652408,0.8582887700534759,0.0,0.2446183953033268,0.7553816046966731,0.0,0.11804008908685969,0.8819599109131403,0.0
14000US17031843400,0.3224400871459695,0.6775599128540305,0.0,0.5042735042735043,0.49572649572649574,0.0,0.30859375,0.69140625,0.0,0.11627906976744186,0.8837209302325582,0.0,0.6842105263157895,0.3157894736842105,0.0,0.30434782608695654,0.6956521739130435,0.0,0.33454545454545453,0.6654545454545454,0.0
14000US17031842600,0.45880026367831245,0.5411997363216875,0.0,0.47568208778173193,0.5243179122182681,0.0,0.5763888888888888,0.4236111111111111,0.0,0.4,0.6,0.0,0.5097765363128491,0.49022346368715086,0.0,0.22300469483568075,0.7769953051643192,0.0,0.5508707607699358,0.44912923923006415,0.0
14000US17031301803,0.2689295039164491,0.7310704960835509,0.0,0.29185185185185186,0.7081481481481482,0.0,,,,0.23628691983122363,0.7637130801687764,0.0,0.0,1.0,0.0,0.2710526315789474,0.7289473684210527,0.0,0.0,1.0,0.0
14000US17031081300,0.010962566844919787,0.9890374331550802,0.0,0.014732303269852677,0.9852676967301474,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.014958044509303174,0.9850419554906968,0.0,0.0,1.0,0.0,0.011251372118551043,0.9887486278814489,0.0
14000US17031081000,0.06355673253208392,0.9364432674679161,0.0,0.08485178134348653,0.9151482186565134,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.08739495798319327,0.9126050420168067,0.0,0.0,1.0,0.0,0.06653870761356366,0.9334612923864364,0.0
14000US17031130100,0.5320304017372421,0.46796959826275786,0.0,0.6166242578456319,0.3833757421543681,0.0,0.0,1.0,0.0,0.3977987421383648,0.6022012578616353,0.0,0.6341689879294337,0.3658310120705664,0.0,0.43137254901960786,0.5686274509803921,0.0,0.5379310344827586,0.46206896551724136,0.0
14000US17031170200,0.6822204344328238,0.3177795655671762,0.0,0.6409691629955947,0.3590308370044053,0.0,,,,0.7940298507462686,0.20597014925373133,0.0,0.6614950634696756,0.3385049365303244,0.0,0.6820175438596491,0.31798245614035087,0.0,0.6823379923761118,0.3176620076238882,0.0
14000US17031170300,0.5980392156862745,0.4019607843137255,0.0,0.635743519781719,0.36425648021828105,0.0,,,,0.4486486486486487,0.5513513513513514,0.0,0.6822289156626506,0.3177710843373494,0.0,0.34352941176470586,0.6564705882352941,0.0,0.6746987951807228,0.3253012048192771,0.0
14000US17031170400,0.8449971081550028,0.1550028918449971,0.0,0.7957342083675144,0.20426579163248565,0.0,0.8260869565217391,0.17391304347826086,0.0,0.9841269841269841,0.015873015873015872,0.0,0.7689357622243528,0.23106423777564716,0.0,0.984313725490196,0.01568627450980392,0.0,0.7867104183757178,0.2132895816242822,0.0
14000US17031170500,0.7608589555880918,0.22693997071742314,0.012201073694485115,0.8467243510506799,0.13782447466007416,0.015451174289245983,1.0,0.0,0.0,0.41262135922330095,0.587378640776699,0.0,0.8572409059711736,0.12560054907343857,0.017158544955387784,0.44680851063829785,0.5531914893617021,0.0,0.8425584255842559,0.14206642066420663,0.015375153751537515
14000US17031170600,0.8955532574974147,0.10444674250258532,0.0,0.8775757575757576,0.12242424242424242,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8678010471204188,0.13219895287958114,0.0,1.0,0.0,0.0,0.8797619047619047,0.12023809523809524,0.0
14000US17031170700,0.7469244288224957,0.2530755711775044,0.0,0.7947421638018201,0.20525783619817997,0.0,,,,0.42953020134228187,0.5704697986577181,0.0,0.8070374574347332,0.19296254256526674,0.0,0.44339622641509435,0.5566037735849056,0.0,0.816414686825054,0.183585313174946,0.0
14000US17031170800,0.7654836464857342,0.23103688239387613,0.003479471120389701,0.7766830870279147,0.21921182266009853,0.004105090311986864,0.4074074074074074,0.5925925925925926,0.0,0.7447916666666666,0.2552083333333333,0.0,0.7937743190661478,0.20136186770428016,0.0048638132295719845,0.7202380952380952,0.27976190476190477,0.0,0.779291553133515,0.2161671207992734,0.004541326067211626
14000US17031251400,0.1295387634936212,0.8518155053974484,0.018645731108930325,0.5785714285714286,0.42142857142857143,0.0,0.08728448275862069,0.8922413793103449,0.020474137931034482,0.5,0.5,0.0,0.5785714285714286,0.42142857142857143,0.0,1.0,0.0,0.0,0.12696850393700787,0.8543307086614174,0.018700787401574805
14000US17031260300,0.0632688927943761,0.8717047451669596,0.06502636203866433,0.4666666666666667,0.5333333333333333,0.0,0.022813688212927757,0.9068441064638784,0.07034220532319392,0.6071428571428571,0.39285714285714285,0.0,1.0,0.0,0.0,0.4722222222222222,0.5277777777777778,0.0,0.03564727954971857,0.8949343339587242,0.06941838649155722
14000US17031260500,0.21548821548821548,0.7845117845117845,0.0,,,,0.21548821548821548,0.7845117845117845,0.0,,,,,,,,,,0.21548821548821548,0.7845117845117845,0.0
14000US17031260600,0.08183306055646482,0.9181669394435352,0.0,1.0,0.0,0.0,0.06205673758865248,0.9379432624113475,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2903225806451613,0.7096774193548387,0.0,0.0706896551724138,0.9293103448275862,0.0
14000US17031260700,0.12972972972972974,0.8702702702702703,0.0,0.0,1.0,0.0,0.10609037328094302,0.8939096267190569,0.0,0.6923076923076923,0.3076923076923077,0.0,0.0,1.0,0.0,0.6923076923076923,0.3076923076923077,0.0,0.10207939508506617,0.8979206049149339,0.0
14000US17031260800,0.15584415584415584,0.8441558441558441,0.0,0.5757575757575758,0.42424242424242425,0.0,0.12698412698412698,0.873015873015873,0.0,0.29545454545454547,0.7045454545454546,0.0,0.5757575757575758,0.42424242424242425,0.0,0.0,1.0,0.0,0.158311345646438,0.841688654353562,0.0
14000US17031050700,0.2702312138728324,0.7297687861271677,0.0,0.2890262751159196,0.7109737248840804,0.0,,,,0.0,1.0,0.0,0.2843601895734597,0.7156398104265402,0.0,0.19444444444444445,0.8055555555555556,0.0,0.27439024390243905,0.725609756097561,0.0
14000US17031050900,0.20987654320987653,0.7901234567901234,0.0,0.21897810218978103,0.781021897810219,0.0,0.0,1.0,0.0,0.18181818181818182,0.8181818181818182,0.0,0.2247191011235955,0.7752808988764045,0.0,0.19607843137254902,0.803921568627451,0.0,0.21105527638190955,0.7889447236180904,0.0
