GEOID_Data,one_or_less,more_than_one,white_one_or_less,white_more_than_one,black_one_or_less,black_more_than_one,other_one_or_less,other_more_than_one,nhisp_white_one_or_less,nhisp_white_more_than_one,hisp_one_or_less,hisp_more_than_one,nhisp_one_or_less,nhisp_more_than_one
14000US17031150200,0.9548548907201719,0.04514510927982802,0.9416936603424341,0.058306339657565945,1.0,0.0,1.0,0.0,0.9851075565361279,0.014892443463872035,0.8548387096774194,0.14516129032258066,0.9871977240398293,0.012802275960170697
14000US17031150300,0.9904980340760158,0.009501965923984272,1.0,0.0,1.0,0.0,0.9258312020460358,0.0741687979539642,1.0,0.0,0.9754098360655737,0.02459016393442623,0.992553983618764,0.007446016381236039
14000US17031140800,0.9685356998789835,0.03146430012101654,0.989252814738997,0.010747185261003071,1.0,0.0,0.8862275449101796,0.11377245508982035,1.0,0.0,0.8633975481611208,0.13660245183887915,1.0,0.0
14000US17031231200,0.9434146341463414,0.05658536585365854,1.0,0.0,0.9234323432343234,0.07656765676567656,1.0,0.0,1.0,0.0,1.0,0.0,0.9290953545232273,0.07090464547677261
14000US17031231100,0.9804878048780488,0.01951219512195122,1.0,0.0,1.0,0.0,0.9327731092436975,0.06722689075630252,1.0,0.0,0.937984496124031,0.06201550387596899,1.0,0.0
14000US17031242400,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14000US17031242500,0.9740834386852086,0.025916561314791402,0.9656903765690377,0.03430962343096234,1.0,0.0,1.0,0.0,0.9865702479338843,0.013429752066115703,0.9249329758713136,0.07506702412868632,0.989247311827957,0.010752688172043012
14000US17031120200,0.9960429621254946,0.00395703787450537,1.0,0.0,1.0,0.0,0.9739776951672863,0.026022304832713755,1.0,0.0,1.0,0.0,0.9957291031116534,0.004270896888346553
14000US17031120300,0.9797507788161994,0.020249221183800622,0.976395823876532,0.023604176123467997,,,1.0,0.0,0.9745472344591287,0.025452765540871267,1.0,0.0,0.9780590717299578,0.021940928270042195
14000US17031120400,0.9796251018744906,0.020374898125509373,0.9788182831661093,0.021181716833890748,,,0.9818181818181818,0.01818181818181818,0.9816625916870416,0.018337408312958436,0.9795918367346939,0.02040816326530612,0.979631425800194,0.020368574199806012
14000US17031231500,0.990228013029316,0.009771986970684038,1.0,0.0,0.9875739644970414,0.01242603550295858,1.0,0.0,1.0,0.0,1.0,0.0,0.9877551020408163,0.012244897959183673
14000US17031071100,0.9928571428571429,0.007142857142857143,0.9920239282153539,0.007976071784646061,1.0,0.0,1.0,0.0,0.991332611050921,0.00866738894907909,1.0,0.0,0.9921951219512195,0.007804878048780488
14000US17031071000,0.9892262487757101,0.010773751224289911,0.9883597883597883,0.01164021164021164,1.0,0.0,1.0,0.0,0.9882604055496265,0.011739594450373533,1.0,0.0,0.9891411648568608,0.01085883514313919
14000US17031071200,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14000US17031071300,0.9841121495327103,0.01588785046728972,0.9813800657174151,0.018619934282584884,1.0,0.0,1.0,0.0,0.9927293064876958,0.00727069351230425,0.4473684210526316,0.5526315789473685,0.9938154138915318,0.006184586108468126
14000US17031110300,0.9707988980716253,0.029201101928374655,0.9941434846266471,0.005856515373352855,1.0,0.0,0.8967889908256881,0.10321100917431193,0.9933554817275747,0.006644518272425249,1.0,0.0,0.9629888268156425,0.037011173184357544
14000US17031220300,0.994475138121547,0.0055248618784530384,1.0,0.0,1.0,0.0,0.9717514124293786,0.02824858757062147,1.0,0.0,0.9685534591194969,0.031446540880503145,1.0,0.0
14000US17031220400,0.9759933774834437,0.024006622516556293,1.0,0.0,,,0.8796680497925311,0.12033195020746888,1.0,0.0,1.0,0.0,0.9695378151260504,0.03046218487394958
14000US17031220500,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14000US17031240300,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14000US17031240500,0.994619523443505,0.005380476556495004,0.99375,0.00625,1.0,0.0,1.0,0.0,0.9935661764705882,0.006433823529411764,1.0,0.0,0.9944,0.0056
14000US17031060400,0.9690210656753407,0.030978934324659233,0.9845430107526881,0.015456989247311828,,,0.7857142857142857,0.21428571428571427,0.9835596854896355,0.016440314510364547,0.8098591549295775,0.19014084507042253,0.984375,0.015625
14000US17031060500,0.9882179675994109,0.011782032400589101,0.9830148619957537,0.016985138004246284,1.0,0.0,1.0,0.0,0.981859410430839,0.018140589569160998,1.0,0.0,0.9874015748031496,0.012598425196850394
14000US17031240800,0.9872,0.0128,0.9821428571428571,0.017857142857142856,1.0,0.0,1.0,0.0,0.975975975975976,0.024024024024024024,1.0,0.0,0.9820224719101124,0.017977528089887642
14000US17031240600,0.9786585365853658,0.021341463414634148,1.0,0.0,1.0,0.0,0.8478260869565217,0.15217391304347827,1.0,0.0,0.8978102189781022,0.10218978102189781,1.0,0.0
14000US17031240700,0.973314606741573,0.026685393258426966,0.9904942965779467,0.009505703422053232,0.9464285714285714,0.05357142857142857,0.9153846153846154,0.08461538461538462,1.0,0.0,0.9309090909090909,0.06909090909090909,1.0,0.0
14000US17031240900,0.974025974025974,0.025974025974025976,0.95,0.05,1.0,0.0,1.0,0.0,0.9345794392523364,0.06542056074766354,1.0,0.0,0.9643765903307888,0.035623409669211195
14000US17031242600,0.9951980792316927,0.004801920768307323,1.0,0.0,1.0,0.0,0.9699248120300752,0.03007518796992481,1.0,0.0,0.9850746268656716,0.014925373134328358,1.0,0.0
14000US17031310600,0.9034512887723897,0.09654871122761031,0.8700084961767205,0.12999150382327954,1.0,0.0,0.9275825346112886,0.0724174653887114,0.8189349112426035,0.18106508875739644,0.9399823477493381,0.06001765225066196,0.8676470588235294,0.1323529411764706
14000US17031310700,0.922077922077922,0.07792207792207792,0.8858267716535433,0.1141732283464567,1.0,0.0,0.941717791411043,0.05828220858895705,0.9166666666666666,0.08333333333333333,0.8859934853420195,0.11400651465798045,0.9579288025889967,0.042071197411003236
14000US17031310800,0.9790382244143033,0.02096177558569667,1.0,0.0,1.0,0.0,0.9650924024640657,0.03490759753593429,1.0,0.0,0.9854955680902499,0.014504431909750202,0.958005249343832,0.04199475065616798
14000US17031020602,0.9084928229665071,0.09150717703349283,1.0,0.0,1.0,0.0,0.7483552631578947,0.25164473684210525,1.0,0.0,0.8798586572438163,0.12014134275618374,0.9143268538516919,0.08567314614830814
14000US17031310900,0.9491237987563595,0.05087620124364047,0.9346504559270516,0.06534954407294832,1.0,0.0,0.955785512699906,0.04421448730009407,0.9747634069400631,0.025236593059936908,0.9339242546333602,0.06607574536663981,0.9848484848484849,0.015151515151515152
14000US17031510100,0.9952418715305313,0.004758128469468675,1.0,0.0,1.0,0.0,0.9739130434782609,0.02608695652173913,1.0,0.0,0.9919246298788694,0.008075370121130552,1.0,0.0
14000US17031510200,0.9636937647987371,0.036306235201262825,1.0,0.0,0.9499455930359086,0.05005440696409141,1.0,0.0,1.0,0.0,1.0,0.0,0.9600694444444444,0.03993055555555555
14000US17031561100,1.0,0.0,1.0,0.0,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14000US17031190701,0.954225352112676,0.045774647887323945,1.0,0.0,1.0,0.0,0.8951612903225806,0.10483870967741936,1.0,0.0,0.9341216216216216,0.06587837837837837,1.0,0.0
14000US17031020901,0.9209090909090909,0.07909090909090909,1.0,0.0,0.9386792452830188,0.06132075471698113,0.7897196261682243,0.2102803738317757,1.0,0.0,0.9415322580645161,0.05846774193548387,0.914906103286385,0.08509389671361503
14000US17031010202,0.8938411669367909,0.10615883306320907,0.9453681710213777,0.05463182897862233,0.8822314049586777,0.11776859504132231,0.8449848024316109,0.15501519756838905,0.9588235294117647,0.041176470588235294,0.8055555555555556,0.19444444444444445,0.912573673870334,0.08742632612966601
14000US17031570100,0.9439461883408071,0.05605381165919283,1.0,0.0,,,0.8903508771929824,0.10964912280701754,1.0,0.0,0.9333333333333333,0.06666666666666667,0.9627329192546584,0.037267080745341616
14000US17031570200,0.9611650485436893,0.038834951456310676,0.9106145251396648,0.0893854748603352,,,1.0,0.0,1.0,0.0,0.9427549194991055,0.057245080500894455,1.0,0.0
14000US17031570300,0.8398860398860399,0.16011396011396012,0.9363468634686347,0.06365313653136531,1.0,0.0,0.66875,0.33125,1.0,0.0,0.7637867647058824,0.23621323529411764,0.9640179910044977,0.035982008995502246
14000US17031570400,0.9195205479452054,0.08047945205479452,0.9539295392953929,0.04607046070460705,,,0.8604651162790697,0.13953488372093023,1.0,0.0,0.8676056338028169,0.1323943661971831,1.0,0.0
14000US17031570500,0.8928571428571429,0.10714285714285714,0.8774193548387097,0.12258064516129032,,,0.9175257731958762,0.08247422680412371,0.9951219512195122,0.004878048780487805,0.841897233201581,0.15810276679841898,0.996,0.004
14000US17031690400,0.980528511821975,0.019471488178025034,,,0.9802677942212826,0.019732205778717406,1.0,0.0,,,,,0.980528511821975,0.019471488178025034
14000US17031691300,0.9911504424778761,0.008849557522123894,,,0.9905482041587902,0.00945179584120983,1.0,0.0,,,1.0,0.0,0.9909420289855072,0.009057971014492754
14000US17031691400,1.0,0.0,,,1.0,0.0,1.0,0.0,,,1.0,0.0,1.0,0.0
14000US17031691500,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14000US17031320400,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14000US17031580100,0.9336188436830836,0.06638115631691649,0.9409937888198758,0.059006211180124224,1.0,0.0,0.9233511586452763,0.0766488413547237,1.0,0.0,0.9584245076586433,0.04157549234135667,0.909853249475891,0.09014675052410902
14000US17031580200,0.9633569739952719,0.03664302600472813,1.0,0.0,,,0.937625754527163,0.06237424547283702,1.0,0.0,0.9901269393511989,0.009873060648801129,0.8248175182481752,0.17518248175182483
14000US17031580300,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14000US17031580400,0.8940620782726046,0.10593792172739541,0.9014492753623189,0.09855072463768116,1.0,0.0,0.8857509627727856,0.11424903722721438,1.0,0.0,0.8633879781420765,0.1366120218579235,0.9817708333333334,0.018229166666666668
14000US17031580600,0.9111531190926276,0.0888468809073724,0.9333333333333333,0.06666666666666667,1.0,0.0,0.885,0.115,0.9440559440559441,0.055944055944055944,0.9050632911392406,0.0949367088607595,0.934984520123839,0.06501547987616099
